    25357/  4 | SET 0
    25439/  4 | 25339 
    25439/  4 | 25339 
    25440/  4 | 25339 
    25440/  4 | 25339 
    25440/  4 | 25339 
    25440/  4 | 25339 
    25441/  4 | 25339 
    25441/  4 | 25339 
    25441/  4 | 25339 
    25441/  4 | 25339 
    25442/  4 | 25339 
    25442/  4 | 25339 
    25442/  4 | 25339 
    25442/  4 | 25339 
    25443/  4 | 25339 
    25443/  4 | 25339 
    25443/  4 | 25339 
    25443/  4 | 25339 
    25444/  4 | 25339 
    25444/  4 | 25339 
    25444/  4 | 25339 
    25444/  4 | 25339 
    25445/  4 | 25339 
    25445/  4 | 25339 
    25445/  4 | 25339 
    25445/  4 | 25339 
    25446/  4 | 25339 
    25446/  4 | 25339 
    25446/  4 | 25339 
    25446/  4 | 25339 
    25447/  4 | 25339 
    25447/  4 | 25339 
    25447/  4 | 25339 
    25447/  4 | 25339 
    25448/  4 | 25339 
    25448/  4 | 25339 
    25448/  4 | 25339 
    25448/  4 | 25339 
    25449/  4 | 25339 
    25449/  4 | 13434 
    25449/  4 | 13434 
    25449/  4 | 13434 
    25450/  4 | 13434 
    25450/  4 | 13434 
    25450/  4 | 13434 
    25450/  4 | 13434 
    25451/  4 | 13434 
    25451/  4 | 13434 
    25451/  4 | 13434 
    25451/  4 | 13434 
    25452/  4 | 13434 
    25452/  4 | 13434 
    25452/  4 | 13434 
    25452/  4 | 13434 
    25453/  4 | 13434 
    25453/  4 | 13434 
    25453/  4 | 13434 
    25453/  4 | 13434 
    25454/  4 | 13434 
    25454/  4 | 13434 
    25454/  4 | 13434 
    25454/  4 | 13434 
    25455/  4 | 13434 
    25455/  4 | 13434 
    25455/  4 | 13434 
    25455/  4 | 13434 
    25456/  4 | 13434 
    25456/  4 | 13434 
    25456/  4 | 13434 
    25456/  4 | 13434 
    25457/  4 | 13434 
    25457/  4 | 13434 
    25457/  4 | 13434 
    25457/  4 | 13434 
    25458/  4 | 13434 
    25458/  4 | 13434 
    25458/  4 | 13434 
    25458/  4 | 13434 
    25459/  4 | 13434 
    25459/  4 | 13434 
    25459/  4 | 13434 
    25459/  4 | 13434 
    25460/  4 | 13434 
    25460/  4 | 13434 
    25460/  4 | 13434 
    25460/  4 | 13434 
    25461/  4 | 13434 
    25461/  4 | 13434 
    25461/  4 | 13434 
    25461/  4 | 13434 
    25462/  4 | 13434 
    25462/  4 | 13434 
    25462/  4 | 13434 
    25462/  4 | 13434 
    25463/  4 | 13434 
    25463/  4 | 13434 
    25463/  4 | 13434 
    25463/  4 | 13434 
    25464/  4 | 13434 
    25464/  4 | 13434 
    25464/  4 | 13434 
    25464/  4 | 13434 
    25464/  4 | 13434 
    25465/  4 | 13434 
    25465/  4 | 13434 
    25465/  4 | 13434 
    25465/  4 | 13434 
    25466/  4 | 13434 
    25466/  4 | 13434 
    25466/  4 | 13434 
    25466/  4 | 13434 
    25467/  4 | 13434 
    25467/  4 | 13434 
    25467/  4 | 13434 
    25467/  4 | 13434 
    25468/  4 | 13434 
    25468/  4 | 13434 
    25468/  4 | 13434 
    25468/  4 | 13434 
    25469/  4 | 13434 
    25469/  4 | 13434 
    25469/  4 | 13434 
    25469/  4 | 13434 
    25470/  4 | 13434 
    25470/  4 | 13434 
    25470/  4 | 13434 
    25470/  4 | 13434 
    25471/  4 | 13434 
